// Date: 03-24-2001
// Auth: GeistHund222
// Name: Firestorm AI
// Used: Small AI Designer Build 1.1.3

/ Build Priorities  /
Limit Aaimexx 5
Limit Caisolrx 50
Limit Caimexx 5
Limit Cuwmmkr 0
Limit Auwmmkr 0
Limit Armumme 0
Limit Corumme 0

/ Plants /

Limit Armalab 2
Limit Armap 1
Limit Armasy 0
Limit Armaap 3
Limit Armvp 2
Limit Armavp 1
Limit Coralab 2
Limit Armlab 2
Limit Armsy 0
Limit Corsy 0
Limit Corvp 2
Limit Coravp 1
Limit Corap 50
Limit Corasy 0
Limit Corlab 2
Limit Coraap 3
Limit Armplat 0
Limit Armhp 0
Limit Corplat 0
Limit Corhp 0
Limit Corgant 1
Limit Szarmaap 2
Limit Szcoraap 2
Limit Distribfacility 0
Limit Aseacom 0
Limit Cseacom 0

/ Specialized Units /

Limit Armarad 0
Limit Armasp 1
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 1
Limit Armsilo 0
Limit Armrad 0
Limit Armss 0
Limit Armscorp 0
Limit Armmine5 0
Limit Armmine2 0
Limit Armmine4 0
Limit Armmine3 0
Limit Armmine1 0
Limit Armtarg 0
Limit Armmine6 0
Limit Armbeac 0
Limit Armdev1 0
Limit Corss 0
Limit Corscorp 0
Limit Cormine2 0
Limit Cormine1 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cortarg 0
Limit Cormine6 0
Limit Corbeac 0
Limit Cordev1 0
Limit Cortron 1
Limit Armemp 0
Limit Aaisilo 5
Limit Caisilo 5
