// Date: 02-26-2001
// Auth: GeistHund222
// Name: moira AI
// Used: Small AI Designer Build 1.1.3

/ Build Priorities  /
Limit Armuwes 5
Limit Armckfus 0
Limit Armuwms 3
Limit Coruwmex 0
Limit Cormmkr 10
Limit Corfmkr 25
Limit Corckfus 0
Limit Coruwfus 1
Limit Coruwes 5
Limit Coruwms 3
Limit Aaickfus 15
Limit Caickfus 15
Limit Cuwmmkr 0
Limit Auwmmkr 0
Limit Quark 0
Limit Fluxor 0
Limit Ackfus 0
Limit Armumme 0
Limit Corumme 0
Limit Aaisolrx 1
Limit Aaimexx 1
Limit Caisolrx 1
Limit Caimexx 1

/ Plants /

Limit Armalab 5
Limit Armap 5
Limit Armasy 6
Limit Armaap 2
Limit Armvp 1
Limit Armavp 1
Limit Coralab 1
Limit Armlab 1
Limit Armsy 5
Limit Corsy 5
Limit Corvp 1
Limit Coravp 3
Limit Corap 50
Limit Corasy 6
Limit Corlab 1
Limit Coraap 3
Limit Armplat 3
Limit Armhp 5
Limit Corplat 3
Limit Corhp 5
Limit Corgant 0
Limit Szarmaap 3
Limit Szcoraap 3
Limit Distribfacility 0
Limit Aseacom 0
Limit Cseacom 0
Limit Armaivp 1

/ Specialized Units /

Limit Armarad 0
Limit Armasp 3
Limit Armgate 0
Limit Corsilo 0
Limit Corrad 0
Limit Corgate 0
Limit Corfmd 0
Limit Corbuild 0
Limit Corarad 0
Limit Corasp 3
Limit Armsilo 0
Limit Armrad 0
Limit Armss 0
Limit Armscorp 0
Limit Armmine5 0
Limit Armmine2 0
Limit Armmine4 0
Limit Armmine3 0
Limit Armmine1 0
Limit Armtarg 1
Limit Armmine6 0
Limit Armbeac 0
Limit Armdev1 0
Limit Corss 5
Limit Corscorp 0
Limit Cormine2 0
Limit Cormine1 0
Limit Cormine3 0
Limit Cormine4 0
Limit Cormine5 0
Limit Cortarg 1
Limit Cormine6 0
Limit Corbeac 0
Limit Cordev1 0
Limit Cortron 0
Limit Armemp 0
Limit Aaisilo 10
Limit Caisilo 10
Limit Aaiamd 0
Limit Caifmd 0
